cafeName,reviewerName,Description,rating,datePosted
"Plowshares Coffee Bloomingdale","Ziya Tabassian","Good coffee. Nice ambiance. Good service!","5","5 years ago"
"Plowshares Coffee Bloomingdale","M Barahmeh","Great atmosphere and coffee, I would recommend it","4","5 years ago"
"Plowshares Coffee Bloomingdale","Mark","Small, crowded, good coffee. No brewed decaf.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Khawla AlHamdan","Cozy place. Good coffee☕️","4","5 years ago"
"Plowshares Coffee Bloomingdale","Mira Miller","The best all around!!!\nFrom coffee to pastries to friendly smiles!!!","5","8 years ago"
"Plowshares Coffee Bloomingdale","Sofia Gunawan","Fun for coffee explorers with a wide palette range.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Pierre Mégevand","Good-tasting drip coffee and croissant. What else do you need?","5","7 years ago"
"Plowshares Coffee Bloomingdale","Karina Borbon","Great coffee and nice staff!!","5","7 years ago"
"Plowshares Coffee Bloomingdale","Jerel Carter","Excellent hot beverages.\nExceptional service!!!","4","6 years ago"
"Plowshares Coffee Bloomingdale","TheServantehj","Great latte.","5","4 months ago"
"Plowshares Coffee Bloomingdale","Brian Filarsky","Great little boutique coffee shop with incredible espresso","5","4 years ago"
"Plowshares Coffee Bloomingdale","William Lee","Delicious coffee and friendly staff!","5","5 years ago"
"Plowshares Coffee Bloomingdale","Vaisart","One of my favorite coffee spots.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Mike Schwartz","Quiet, good for work, friendly staff, good coffee","5","6 years ago"
"Plowshares Coffee Bloomingdale","Tish Tamez","Coffee heaven....worth the trip to this quaint shop","5","8 years ago"
"Plowshares Coffee Bloomingdale","Zachary Koval","Nitro coffee and vegan baked goods 🙌🏻 …","5","7 years ago"
"Plowshares Coffee Bloomingdale","Perrin Anto","Really cute spot with great coffee","5","4 years ago"
"Plowshares Coffee Bloomingdale","J Z","The best iced latte ever!","5","8 years ago"
"Plowshares Coffee Bloomingdale","Nico Sherman","The best GD latte in the area","5","5 years ago"
"Plowshares Coffee Bloomingdale","Nikoleta Moulinos","Quick service great macchiato.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Antonis Kyp","Their cappuccino-so good!","5","7 years ago"
"Plowshares Coffee Bloomingdale","Steven Huang","Great coffee and butter sconces","5","9 years ago"
"Plowshares Coffee Bloomingdale","Sobe Paula","👍 …","4","5 years ago"
"Plowshares Coffee Bloomingdale","Jon and Amanda Lewis","Solid coffee shop.","5","3 years ago"
"Plowshares Coffee Bloomingdale","Zhenya","The best coffee place in the neighborhood","5","8 years ago"
"Plowshares Coffee Bloomingdale","Elsa Johnson","Don’t have wifi","3","6 years ago"
"Plowshares Coffee Bloomingdale","Andrés AVG","Great coffee and staff","5","5 years ago"
"Plowshares Coffee Bloomingdale","Fernanda Frotté","Great coffee!","5","8 years ago"
"Plowshares Coffee Bloomingdale","mogmin *Megumi Haruna","A coffee shop I sometimes go to when I want to drink delicious coffee. Since it's relatively close by, I always stop by, and it's a fairly popular and small store, so I'm lucky if I can get a seat. (It's relatively quiet if you can sit …","5","6 years ago"
"Plowshares Coffee Bloomingdale","Ivano Decandia","Very nice bar, with a wide choice. Excellent cappuccino. Recommended for an Italian breakfast.","5","8 months ago"
"Plowshares Coffee Bloomingdale","봉봉","The staff's service is really friendly and it seems like a place where locals line up to eat. It's the best!! The capacity is bigger than I thought.","5","a year ago"
"Plowshares Coffee Bloomingdale","Esteban rodriguez","If you like strong flavored coffee then you will enjoy Ester Place.  They have good variety.  The place is small, only three tables and a small bar.  I prefer the bench that is outside the store... I recommend it.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Javier Caso","Nice coffee. Specialty: Cortado and ham and cheese crossiant.","5","8 years ago"
"Plowshares Coffee Bloomingdale","H L","One of the only two or three coffee shops near Columbia that is not worse than Starbucks.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Randeep Walia","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Dave Liao","No Desc.","4","7 years ago"
"Plowshares Coffee Bloomingdale","Danni Gonyo","No Desc.","5","2 years ago"
"Plowshares Coffee Bloomingdale","manuel flores","Good breakfasts","4","5 years ago"
"Plowshares Coffee Bloomingdale","Josh","No Desc.","5","2 years ago"
"Plowshares Coffee Bloomingdale","Pablo Villalobos","No Desc.","5","2 years ago"
"Plowshares Coffee Bloomingdale","Tom Werkmeister","No Desc.","5","3 days ago"
"Plowshares Coffee Bloomingdale","Saeny Arellano","No Desc.","5","6 days ago"
"Plowshares Coffee Bloomingdale","Bhakti Dalvi","No Desc.","4","6 days ago"
"Plowshares Coffee Bloomingdale","Orna Intrator","No Desc.","5","a month ago"
"Plowshares Coffee Bloomingdale","Jack Chen","No Desc.","5","a month ago"
"Plowshares Coffee Bloomingdale","Nate","No Desc.","5","2 months ago"
"Plowshares Coffee Bloomingdale","ミッシェルMichelle","No Desc.","5","4 months ago"
"Plowshares Coffee Bloomingdale","Chris Morgan","No Desc.","5","5 months ago"
"Plowshares Coffee Bloomingdale","Dr. Gigi Arnaud","No Desc.","5","7 months ago"
"Plowshares Coffee Bloomingdale","Emma Sniegowski","No Desc.","5","8 months ago"
"Plowshares Coffee Bloomingdale","Keeneth Love","No Desc.","5","8 months ago"
"Plowshares Coffee Bloomingdale","Bonnie Costa","No Desc.","5","9 months ago"
"Plowshares Coffee Bloomingdale","Jim","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Irina Den","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Crystal Qian","No Desc.","3","a year ago"
"Plowshares Coffee Bloomingdale","Robert Garod","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Ying Xiang Tan","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Franco De Benedictis","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Max G","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Kamil Wegenek","No Desc.","5","a year ago"
"Plowshares Coffee Bloomingdale","Erik Olson","No Desc.","5","2 years ago"
"Plowshares Coffee Bloomingdale","L O","No Desc.","3","2 years ago"
"Plowshares Coffee Bloomingdale","Roy Thomas","No Desc.","3","2 years ago"
"Plowshares Coffee Bloomingdale","Giulio Defe","No Desc.","5","2 years ago"
"Plowshares Coffee Bloomingdale","Michael A. Benitez","No Desc.","5","2 years ago"
"Plowshares Coffee Bloomingdale","David Jospeh","No Desc.","5","3 years ago"
"Plowshares Coffee Bloomingdale","Ziv Ben-Zion","No Desc.","5","3 years ago"
"Plowshares Coffee Bloomingdale","Pavel Push","No Desc.","5","3 years ago"
"Plowshares Coffee Bloomingdale","Seb Lanthier","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Emily Fulham","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","shoshana sperber","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Shomari Tomlinson","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Jessica Schnell","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Katie Mulligan","No Desc.","1","4 years ago"
"Plowshares Coffee Bloomingdale","Bruno Vilches","No Desc.","4","4 years ago"
"Plowshares Coffee Bloomingdale","Orly Gilat","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Andre Gordon","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","andrew meador","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Michael Seltenreich","No Desc.","5","4 years ago"
"Plowshares Coffee Bloomingdale","Vira Behnam","No Desc.","4","4 years ago"
"Plowshares Coffee Bloomingdale","omi edda","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Yaakov Kilstein","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","vivian","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Alastor Polanco","No Desc.","3","5 years ago"
"Plowshares Coffee Bloomingdale","Ben Whitehouse","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Greta Krasovskytė","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Marcelo Grigolo","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","정승환","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Devanshi Khetarpal","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Anat L","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Pamela Cruz","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Luis Enrique Hernández Rivas","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Sandokan Tips","No Desc.","3","5 years ago"
"Plowshares Coffee Bloomingdale","Terrance Wilson","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Alexander Garcia","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Xin Gu","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","joyce dye","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","박수만","No Desc.","2","5 years ago"
"Plowshares Coffee Bloomingdale","SIXteen [•]","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Clay Lerner","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Diana Raeva","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Adam Grass","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Brian Weinblatt","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Gabriel Buchdahl","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Jeremiah Thomas","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Lizzy Forward","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Aires Z.","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Kyle Zelman","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Erik Jue","No Desc.","5","5 years ago"
"Plowshares Coffee Bloomingdale","Rob Vucinic","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Oscar Straus","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Jorge Camuñas","No Desc.","4","5 years ago"
"Plowshares Coffee Bloomingdale","Raja Perumal","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Gareth Bevan","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","D j","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Pablo Jorquera","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Wesley Tansey","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Chanyell Haynes","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Zeev Alon-Utnik","No Desc.","3","6 years ago"
"Plowshares Coffee Bloomingdale","Marc Cioffi","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Jon Bernard","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Christina Johnson","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Milan B","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Zachary McGeachy","No Desc.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Shutter Schmack","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Peter Orozco","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Audrey Moss","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Jordan Matelsky","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Basil Moore","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","rob flynn","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Liam Kavin","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Samuel Lalrinhlua","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Yaritza Caban Quinones","No Desc.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Kaushik Mohan","No Desc.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Leonie Schroten","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Eric Shapiro","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Ana Lucia Varon Ocampo","No Desc.","5","6 years ago"
"Plowshares Coffee Bloomingdale","Erik Post","No Desc.","4","6 years ago"
"Plowshares Coffee Bloomingdale","Samuel Sanchez","No Desc.","2","6 years ago"
"Plowshares Coffee Bloomingdale","Michael Corey","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Elizabeth Blackwell","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Etienne Reichenbach","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Tay Cheng","No Desc.","4","7 years ago"
"Plowshares Coffee Bloomingdale","Robert Barat","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Katia Mama","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Shahar Klein","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Tim Bernard","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Steve Kim","No Desc.","4","7 years ago"
"Plowshares Coffee Bloomingdale","Alex Sopchak","No Desc.","5","7 years ago"
"Plowshares Coffee Bloomingdale","Anna Obraztsova","No Desc.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Semih Söğütlü","No Desc.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Henri Palacci","No Desc.","4","8 years ago"
"Plowshares Coffee Bloomingdale","Mariana Pazos","No Desc.","3","8 years ago"
"Plowshares Coffee Bloomingdale","Chao Liao","No Desc.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Alexandra Ainatchi","No Desc.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Eugene Bata","No Desc.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Julien F.","No Desc.","3","8 years ago"
"Plowshares Coffee Bloomingdale","Milen Sarandev","No Desc.","5","8 years ago"
"Plowshares Coffee Bloomingdale","Arun Mathew","No Desc.","5","9 years ago"
